"","year","locality","count"
"1",1981,"delareyville",37
"2",1981,"lichtenburg",37
"3",1981,"potchefstroom",37
"4",1981,"setlagole",37
"5",1981,"ventersdorp",37
"6",1981,"vierfontein",37
"7",1982,"alma",40
"8",1982,"bapsfontein",41
"9",1982,"bethal",41
"10",1982,"bethlehem",41
"11",1982,"cedara",41
"12",1982,"cradock",41
"13",1982,"delareyville",41
"14",1982,"dohne",82
"15",1982,"ermelo",41
"16",1982,"glaudina",41
"17",1982,"grootfontein",41
"18",1982,"hardap",41
"19",1982,"hoopstad",41
"20",1982,"kokstad",41
"21",1982,"koster",41
"22",1982,"kroonstad",41
"23",1982,"lichtenburg",41
"24",1982,"lydenburg",82
"25",1982,"mafikeng",1
"26",1982,"pietermaritzburg",41
"27",1982,"potchefstroom",82
"28",1982,"sasolburg",41
"29",1982,"setlagole",82
"30",1982,"soekmekaar",41
"31",1982,"upington",41
"32",1982,"vaalharts",82
"33",1982,"ventersdorp",82
"34",1982,"vierfontein",41
"35",1982,"warmbad",41
"36",1982,"winterton",41
"37",1984,"alma",44
"38",1984,"bapsfontein",44
"39",1984,"bethal",44
"40",1984,"bethlehem",132
"41",1984,"cedara",44
"42",1984,"clocolan",44
"43",1984,"cradock",44
"44",1984,"dohne",88
"45",1984,"dundee",44
"46",1984,"ermelo",44
"47",1984,"ficksburg",44
"48",1984,"grootfontein",44
"49",1984,"hardap",44
"50",1984,"hoopstad",43
"51",1984,"kokstad",44
"52",1984,"lichtenburg",44
"53",1984,"lydenburg",44
"54",1984,"malkerns",44
"55",1984,"pietermaritzburg",44
"56",1984,"potchefstroom",88
"57",1984,"potgietersrus",88
"58",1984,"sasolburg",44
"59",1984,"setlagole",44
"60",1984,"soekmekaar",44
"61",1984,"standerton",44
"62",1984,"tuinplaas",44
"63",1984,"upington",44
"64",1984,"vaalharts",88
"65",1984,"ventersdorp",44
"66",1984,"vierfontein",44
"67",1984,"warmbad",44
"68",1984,"winterton",44
"69",1985,"alma",48
"70",1985,"bapsfontein",48
"71",1985,"bethlehem",144
"72",1985,"cedara",96
"73",1985,"cradock",48
"74",1985,"delareyville",48
"75",1985,"dohne",96
"76",1985,"dundee",48
"77",1985,"ermelo",48
"78",1985,"ficksburg",48
"79",1985,"glaudina",48
"80",1985,"glen",48
"81",1985,"hardap",48
"82",1985,"hoopstad",48
"83",1985,"hopetown",48
"84",1985,"kokstad",48
"85",1985,"lichtenburg",48
"86",1985,"potchefstroom",48
"87",1985,"potgietersrus",48
"88",1985,"sasolburg",48
"89",1985,"soekmekaar",96
"90",1985,"standerton",48
"91",1985,"tuinplaas",96
"92",1985,"vaalharts",192
"93",1985,"ventersdorp",96
"94",1985,"vierfontein",48
"95",1985,"viljoenskroon",96
"96",1985,"warmbad",48
"97",1985,"winterton",48
"98",1986,"alma",41
"99",1986,"bethal",41
"100",1986,"bethlehem",82
"101",1986,"burgershall",41
"102",1986,"cedara",41
"103",1986,"cradock",41
"104",1986,"delareyville",41
"105",1986,"dundee",41
"106",1986,"ermelo",41
"107",1986,"ficksburg",41
"108",1986,"glaudina",41
"109",1986,"greytown",41
"110",1986,"hoopstad",41
"111",1986,"lichtenburg",41
"112",1986,"petit",82
"113",1986,"pietermaritzburg",41
"114",1986,"potchefstroom",82
"115",1986,"potgietersrus",41
"116",1986,"sasolburg",41
